;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
0;0;07.01.2019;143.6;32'12'734S,148'13'144E;;VH-GKC;Duo Discus (T) (700kg);Mladá Boleslav;Vojtěch Hájek;polygon s 5OB;39.8;32'12'964S,148'17'118E;;není možné podle pravidel bodovat
1;0;06.01.2019;810.2;23'26'000S,18'16'167E;;OK-7393;HpH 304 TS Twin Shark (M) S;Zbraslavice;Jaroslav Potměšil;trojúhelník s odletem z ramene;110.18;23'26'000S,18'16'167E;;rychlostní let se změnou tratě za letu
2;0;06.01.2019;939.7;23'26'000S,18'16'167E;;OK-2031;HpH 304S/SJ/M SHARK /18m (600kg);Holešov;Jiří Kusbach;polygon s 5OB;127.63;23'26'000S,18'16'167E;;rychlostní let se změnou tratě za letu
3;0;05.01.2019;719.1;23'29'900S,17'44'840E;;D-KOWL;Arcus E/M/S/T;Prievidza;Gabriela Belakova;polygon s 3OB;123.11;23'19'667S,17'56'833E;;volný let na vzdálenost
4;0;05.01.2019;355.9;30'34'000S,25'32'000E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;trojúhelník s odletem z ramene;101.37;30'34'000S,25'32'000E;;rychlostní let se změnou tratě za letu
5;0;05.01.2019;360.1;30'34'192S,25'30'532E;;D-KSEL;Duo Discus X(T);Plzeň-Letkov;Roman Lanzendorf;polygon s 5OB;86.25;30'33'056S,25'31'763E;;není možné podle pravidel bodovat
6;0;05.01.2019;821.3;23'26'000S,18'16'167E;;OK-2031;HpH 304S/SJ/M SHARK /18m (600kg);Holešov;Jiří Kusbach;polygon s 3OB;129.46;23'26'000S,18'16'167E;;rychlostní let podle deklarace
7;0;05.01.2019;821.3;23'26'000S,18'16'167E;;OK-7393;HpH 304 TS Twin Shark (M) S;Zbraslavice;Petr Stárek;polygon s 3OB;129.34;23'26'000S,18'16'167E;;rychlostní let podle deklarace
8;0;04.01.2019;928.9;30'32'433S,25'30'683E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;polygon s 5OB;117.49;30'32'433S,25'30'683E;;rychlostní let se změnou tratě za letu
9;0;04.01.2019;828.3;30'33'717S,25'31'767E;;D-KSEL;Duo Discus X(T);Broumov;Vratislav Šrám;polygon s 5OB;109.16;30'33'717S,25'31'767E;;rychlostní let se změnou tratě za letu
10;0;03.01.2019;786.5;30'32'433S,25'30'683E;;YU-4477;JS1-A/B/C(TJ) 18;Česká Lípa;Petr Hotový;polygon s 5OB;135.4;30'32'433S,25'30'683E;;rychlostní let se změnou tratě za letu
11;0;03.01.2019;677.5;29'03'490S,23'48'100E;;OK 2729;ASG-29(E) 18m;GAC Benešov;Ondřej Dupal;2OB;145.93;30'34'000S,25'32'000E;;volný let na vzdálenost
12;0;02.01.2019;471.5;30'33'504S,25'32'824E;;OK 2729;ASG-29(E) 18m;GAC Benešov;Ondřej Dupal;2OB;121.37;29'47'283S,24'07'983E;;volný let na vzdálenost
13;0;02.01.2019;1023.9;23'19'667S,17'56'833E;;D-KOWL;Arcus E/M/S/T;Prievidza;Gabriela Belakova;polygon s 5OB;129.89;23'19'667S,17'56'833E;;rychlostní let se změnou tratě za letu
14;0;03.01.2019;433.6;30'33'717S,25'31'767E;;D-KSEL;Duo Discus X(T);Plzeň-Letkov;Roman Lanzendorf;polygon s 5OB;88.88;30'33'717S,25'31'767E;;rychlostní let se změnou tratě za letu
15;0;03.01.2019;866.9;23'26'000S,18'16'167E;;OK-7393;HpH 304 TS Twin Shark (M) S;Zbraslavice;Jaroslav Potměšil;polygon s 3OB;120.11;23'26'000S,18'16'167E;;rychlostní let se změnou tratě za letu
16;0;03.01.2019;824;23'26'000S,18'16'167E;;OK-2031;HpH 304S/SJ/M SHARK /18m (600kg);Holešov;Jiří Kusbach;polygon s 5OB;132.32;23'26'000S,18'16'167E;;rychlostní let se změnou tratě za letu
17;0;02.01.2019;1025.3;23'26'000S,18'16'167E;;OK-7393;HpH 304 TS Twin Shark (M) S;Zbraslavice;Petr Stárek;polygon s 3OB;129.72;23'26'000S,18'16'167E;;rychlostní let podle deklarace
18;0;02.01.2019;1040.8;23'26'000S,18'16'167E;;OK-2031;HpH 304S/SJ/M SHARK /18m (600kg);Holešov;Jiří Kusbach;polygon s 5OB;126.57;23'26'000S,18'16'167E;;rychlostní let se změnou tratě za letu
19;0;31.12.2018;85.6;48'16'509N,18'08'448E;;D-7037;H-201 Std. Libelle WL;Nitra;Pavol Klein;polygon s 5OB;71.52;48'17'838N,18'07'001E;;není možné podle pravidel bodovat
20;0;01.01.2019;108.4;49'57'537N,15'30'768E;;OK-3969;ASW-15B;VAP;Kristina Šantrůčková;polygon s 5OB;67.12;49'52'664N,15'34'794E;;není možné podle pravidel bodovat
21;0;01.01.2019;135.7;49'57'667N,15'30'667E;;8510;VSO-10;VAP;Michal Taufer;polygon s 5OB;95.3;49'57'667N,15'30'667E;;rychlostní let podle deklarace
22;0;01.01.2019;760.4;23'26'000S,18'16'167E;;OK-7393;HpH 304 TS Twin Shark (M) S;Zbraslavice;Jaroslav Potměšil;FAI trojúhelník s odletem z ramene;114.71;23'26'000S,18'16'167E;;rychlostní let podle deklarace
23;0;01.01.2019;760.4;23'26'000S,18'16'167E;;OK-2031;HpH 304S/SJ/M SHARK /18m (600kg);Holešov;Jiří Kusbach;FAI trojúhelník s odletem z ramene;123.13;23'26'000S,18'16'167E;;rychlostní let podle deklarace
24;0;01.01.2019;621.8;30'33'700S,25'31'767E;;YU-4477;JS1-A/B/C(TJ) 18;Broumov;Vratislav Šrám;polygon s 5OB;136.41;30'33'700S,25'31'767E;;rychlostní let se změnou tratě za letu
25;0;01.01.2019;330.8;30'32'433S,25'30'683E;;D-KSEL _;Duo Discus X(T);Dvůr Králové;Petr Pánek;polygon s 3OB;96;30'32'433S,25'30'683E;;rychlostní let se změnou tratě za letu
26;0;31.12.2018;610.4;30'33'700S,25'31'767E;;YU-4477;JS1-A/B/C(TJ) 18;Dvůr Králové;Petr Pánek;trojúhelník;120.98;30'33'700S,25'31'767E;;rychlostní let se změnou tratě za letu
27;0;31.12.2018;843.4;23'26'000S,18'16'167E;;OK-2031;HpH 304S/SJ/M SHARK /18m (600kg);Holešov;Jiří Kusbach;polygon s 3OB;117;23'26'000S,18'16'167E;;rychlostní let podle deklarace
28;0;31.12.2018;800.7;23'37'602S,17'43'012E;;OK-7393;HpH 304 TS Twin Shark (M) S;Zbraslavice;Petr Stárek;polygon s 3OB;113.48;23'26'000S,18'16'167E;;volný let na vzdálenost
29;0;31.12.2018;716.6;30'33'717S,25'31'767E;;D-KSEL;Duo Discus X(T);Plzeň-Letkov;Roman Lanzendorf;polygon s 3OB;103.62;30'33'717S,25'31'767E;;rychlostní let se změnou tratě za letu
