;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
0;0;23.10.2018;144.7;48'16'182N,18'08'409E;;OM-8888;LS-8s(t) /18m;Nitra;Dominik Jančík;polygon s 5OB;51.68;48'20'567N,18'06'300E;;volný let na vzdálenost
1;0;23.10.2018;49.3;50'18'732N,17'18'796E;;OK-3103;Phoebus A1;Medlánky;Petr Jedlička;polygon s 5OB;19.55;50'12'512N,17'13'673E;;není možné podle pravidel bodovat
2;0;23.10.2018;148.4;50'04'670N,17'43'060E;;OK-1948;Janus c/cM/cT;Letňany;Tereza Koubková;polygon s 5OB;46.13;50'05'232N,17'27'475E;;není možné podle pravidel bodovat
3;0;23.10.2018;78.3;50'03'883N,17'42'866E;;OK-1981;DG-200 /17m;Mladá Boleslav;Martin Souček;polygon s 5OB;31.53;50'02'948N,17'19'425E;;není možné podle pravidel bodovat
4;0;23.10.2018;108.3;50'03'944N,17'45'186E;;OK-3892;ASW-19B;Jihlava;David Zouhar;polygon s 5OB;32.24;50'03'982N,17'28'724E;;není možné podle pravidel bodovat
5;0;23.10.2018;132.3;50'04'599N,17'42'502E;;OK-0976;Std. Cirrus;Hodkovice;Jan Zahrádka;polygon s 5OB;25.41;50'03'233N,17'17'556E;;není možné podle pravidel bodovat
6;0;23.10.2018;130.9;50'04'678N,17'42'500E;;D-0456;ASW-15B;Vysoké Mýto;Jan Vavřín;polygon s 5OB;41.74;50'04'233N,17'18'250E;;volný let na vzdálenost
7;0;23.10.2018;113.8;50'04'638N,17'42'561E;;OK-9841;Duo Discus X(T);Jičín;Jan Borůvka;polygon s 5OB;33.95;50'05'833N,17'19'837E;;není možné podle pravidel bodovat
8;0;23.10.2018;105.2;50'03'380N,17'45'159E;;OK-4522;VSO-10;Krnov;Petr Kramář;polygon s 5OB;58.41;50'00'233N,17'10'667E;;volný let na vzdálenost
9;0;22.10.2018;23.1;50'04'588N,17'41'494E;;OK-9841;Duo Discus X(T);Jičín;Jan Borůvka;polygon s 5OB;97.26;50'04'017N,17'42'703E;;není možné podle pravidel bodovat
10;0;23.10.2018;112.8;50'04'640N,17'40'840E;;OK-0696;Std. Cirrus;Slaný;Kateřina Vojtová;polygon s 5OB;35.26;50'04'826N,17'28'687E;;není možné podle pravidel bodovat
11;0;23.10.2018;121.1;50'04'848N,17'43'056E;;OK-0971;Std. Cirrus;Slaný;Jiří Hůla;polygon s 5OB;42.85;50'04'233N,17'18'250E;;volný let na vzdálenost
12;0;23.10.2018;105.3;50'04'593N,17'42'621E;;OK-5555;Duo Discus X(T);Krnov;Jan Pláteník;polygon s 5OB;29.09;50'04'474N,17'22'446E;;není možné podle pravidel bodovat
13;0;23.10.2018;95.7;50'04'608N,17'42'434E;;OK-0808;LS-8b /15m;Raná;Hana Trešlová;polygon s 5OB;32.33;50'04'851N,17'22'324E;;není možné podle pravidel bodovat
14;0;21.10.2018;24.3;50'33'653N,16'20'248E;;OK-4981;Nimbus-2(b);Broumov;Václav Kult;polygon s 5OB;31.19;50'31'818N,16'18'890E;;není možné podle pravidel bodovat
15;0;21.10.2018;30.3;50'33'154N,16'20'264E;;OK-2277;Janus c/cM/cT;Broumov;Jiri Suchomel;polygon s 5OB;38.63;50'31'243N,16'19'652E;;není možné podle pravidel bodovat
