;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
0;0;09.09.2018;166.9;49'25'167N,15'38'117E;;D-5977;ASW-19B;Jihlava;Jan Beránek;trojúhelník;81.74;49'25'167N,15'38'117E;;rychlostní let se změnou tratě za letu
1;0;09.09.2018;112.1;50'04'550N,17'41'533E;;OK-0945;ASW-15B;Krnov;Tomáš Grufík;polygon s 3OB;54.36;50'04'550N,17'41'533E;;rychlostní let se změnou tratě za letu
2;0;09.09.2018;153.3;50'04'550N,17'41'533E;;OK-8661;ASW-15B;Krnov;Martin Dvořák;polygon s 5OB;69.52;50'04'550N,17'41'533E;;rychlostní let se změnou tratě za letu
3;0;08.09.2018;179.3;49'14'217N,16'33'300E;;OK-A416;TST-10M Atlas;Medlánky;Gustav Vrbacký;polygon s 3OB;61.44;49'14'217N,16'33'300E;;rychlostní let se změnou tratě za letu
4;0;08.09.2018;292.1;48'29'012N,17'32'939E;;D-KILB;Ventus 3F /18m;Trnava;Lukas Benedikt;polygon s 3OB;85.93;48'29'012N,17'32'939E;;rychlostní let se změnou tratě za letu
5;0;06.09.2018;64;49'44'056N,14'37'462E;;OK-0234;L-23 Super Blaník;GAC Benešov;Miroslav Chomut;polygon s 5OB;50.2;49'45'385N,14'41'906E;;není možné podle pravidel bodovat
6;0;08.09.2018;212.1;50'24'600N,13'46'312E;;4506;VSO-10;Raná;Tereza KrčilováSpálenková;polygon s 3OB;40.39;50'24'233N,13'45'117E;;volný let na vzdálenost
7;0;08.09.2018;120;49'22'076N,16'06'932E;;OK-1948;Janus c/cT/cM (FG);Křižanov;Dušan Kmeť;polygon s 5OB;97.69;49'24'134N,16'09'041E;;není možné podle pravidel bodovat
8;0;08.09.2018;182.3;51'11'243N,16'57'831E;EPWS;SP-0000;SZD-48 Jantar Std. 2(3);Wrocławski;Grzegorz Kokot;polygon s 5OB;45.5;51'12'367N,16'59'917E;EPWS;volný let na vzdálenost
9;0;08.09.2018;125.3;50'24'633N,14'13'567E;;OK4740;Std. Cirrus WL;Roudnice n.L.;Martin Marek;FAI trojúhelník;45.8;50'24'633N,14'13'567E;;rychlostní let podle deklarace
10;0;08.09.2018;197.2;49'12'365N,14'34'357E;;OK-6504;VSO-10;Hosín;Petr Rozhoň;2OB;53.31;49'02'399N,14'29'700E;;volný let na vzdálenost
11;0;08.09.2018;18.5;49'14'309N,16'33'263E;;OK-8565;Z-24 Krajánek;Vyškov;Antonín Pilát;polygon s 5OB;28.91;49'16'952N,16'30'943E;;není možné podle pravidel bodovat
12;0;08.09.2018;251;41'51'331N,6'42'350W;;D-KUMO;DG-400 /17m;Kroměříž;Bohdan Sebestik;polygon s 5OB;87.9;41'51'331N,6'42'350W;;rychlostní let se změnou tratě za letu
13;0;08.09.2018;143.3;49'34'833N,15'45'767E;;OK_8656;ASW-15B;Přibyslav;Martin Kříž;polygon s 5OB;67.21;49'34'833N,15'45'767E;;rychlostní let se změnou tratě za letu
14;0;08.09.2018;87.2;49'34'946N,15'47'425E;;OK-8656;ASW-15B;Přibyslav;Michaela Křížová;polygon s 5OB;67.26;49'31'706N,15'47'765E;;není možné podle pravidel bodovat
15;0;08.09.2018;207.5;50'24'660N,13'46'438E;Rana;7530;VSO-10;Raná;David Krčil;polygon s 3OB;38.02;50'24'233N,13'45'117E;Rana;volný let na vzdálenost
16;0;08.09.2018;288.1;49'36'000N,15'33'083E;;OM-5452;ASW-20 B(L) /15m;Nitra;Dávid Darnady;polygon s 5OB;76.49;49'36'000N,15'33'083E;;rychlostní let se změnou tratě za letu
17;0;08.09.2018;210.2;49'13'482N,16'33'588E;;OK-4321;VT-116 Orlik II;Medlánky;Petr Vězda;polygon s 5OB;51.15;49'14'973N,16'33'976E;;není možné podle pravidel bodovat
18;0;08.09.2018;329;51'03'040N,14'20'642E;MOST;OK-0369;Ventus b(T) /16,6m;Most;František Myška;2OB;75.86;50'31'500N,13'40'983E;MOST;volný let na vzdálenost
19;1;08.09.2018;142.7;57'04'517N,2'50'567W;;G-CLVO;SZD-54-2 Perkoz 20m;Plzeň-Letkov;Jakub Hlaváček;4OB;70.74;57'04'300N,2'53'400W;;rychlostní let podle deklarace
20;0;08.09.2018;236;50'25'738N,15'20'920E;;OK-3888;Duo Discus XL(T);Jičín;Miloš Pajr;polygon s 5OB;84.72;50'28'961N,15'17'716E;;není možné podle pravidel bodovat
21;0;08.09.2018;327.8;50'05'183N,12'57'167E;;ok-7744;Ventus cM /17,6m;Toužim;Jiří Procházka;trojúhelník;76.91;50'05'183N,12'57'167E;;rychlostní let se změnou tratě za letu
22;0;08.09.2018;103.4;49'02'715N,14'31'053E;;D-3983;ASW-15B;Hosín;Petr Sochor;polygon s 5OB;36.17;49'02'494N,14'30'170E;;není možné podle pravidel bodovat
23;0;08.09.2018;210;48'47'450N,16'53'550E;LKBA;OK-A31O;TST-10M Atlas;Letecký klub Břeclav;Karel Ertl;polygon s 5OB;49.13;48'47'450N,16'53'550E;LKBA;rychlostní let se změnou tratě za letu
24;0;08.09.2018;74;49'25'418N,17'07'303E;;OK8514;VSO-10;Prostějov JF;Libor šebestík;polygon s 5OB;44.35;49'27'341N,17'06'052E;;není možné podle pravidel bodovat
25;0;08.09.2018;133.6;49'22'100N,16'06'967E;LKKA;OK-0202;L-23 Super Blaník;Křižanov;Vojtěch Janíček;polygon s 5OB;41.23;49'22'100N,16'06'967E;LKKA;rychlostní let se změnou tratě za letu
26;0;08.09.2018;168.7;49'35'360N,15'32'220E;;OK-A206;TST-3 Alpin TM;Letňany;Václav Petrů;2OB;35.8;49'36'000N,15'33'083E;;volný let na vzdálenost
27;0;08.09.2018;352;50'05'183N,12'57'167E;;OK-6644;Ventus cT /17,6m;Toužim;Petr Jiránek;trojúhelník;82.92;50'05'183N,12'57'167E;;rychlostní let podle deklarace
28;0;08.09.2018;166.3;50'24'233N,13'45'117E;;OK-6610;SZD-36 Cobra 15;Raná;Jana Mezerová;polygon s 3OB;79.33;50'24'233N,13'45'117E;;rychlostní let podle deklarace
29;0;08.09.2018;232.5;50'19'883N,15'57'233E;LKJA;OK-9302;Discus b;Jaroměř;Petr Valenta;polygon s 3OB;81.59;50'19'883N,15'57'233E;LKJA;rychlostní let podle deklarace
30;0;08.09.2018;254;49'35'833N,15'32'950E;;OK-5606;VSO-10;Letňany;Tomáš Malík;polygon s 5OB;56.84;49'35'833N,15'32'950E;;rychlostní let se změnou tratě za letu
31;0;08.09.2018;387.2;50'24'850N,15'50'217E;Dvur;OK-2530;Ventus c /17,6m;Dvůr Králové;Milan Meisner;polygon s 5OB;99.54;50'24'850N,15'50'217E;Dvur;rychlostní let se změnou tratě za letu
32;0;08.09.2018;401.3;50'31'500N,13'40'983E;MOST;OK-9195;Std. Cirrus;Most;František Filandr;trojúhelník s odletem z ramene;73.85;50'31'500N,13'40'983E;MOST;rychlostní let podle deklarace
