;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
0;0;07.10.2018;132.4;49'35'767N,18'23'432E;;OK-1979;DG-200 /15m;Frýdlant n.O.;Jiří Pělucha;polygon s 5OB;53.75;49'32'063N,18'18'929E;;není možné podle pravidel bodovat
1;0;06.10.2018;108.6;50'38'682N,16'31'470E;;OK3907;Std. Cirrus;Zbraslavice;Jan Ratz;2OB;59.68;50'00'433N,17'25'683E;;volný let na vzdálenost
2;0;06.10.2018;14.6;49'22'164N,121'30'047W;;C-GVSA;G-103 Twin III;Medlánky;Zuzana Markesová;polygon s 5OB;74.55;49'21'357N,121'23'583W;;není možné podle pravidel bodovat
3;0;06.10.2018;39.3;48'16'417N,18'07'894E;;OM-2200;Std. Cirrus;Nitra;Jozef Dúc;polygon s 5OB;10.88;48'18'246N,18'08'890E;;není možné podle pravidel bodovat
4;0;06.10.2018;68.1;50'18'032N,17'17'612E;;OK-1973;G-103 Twin Basic;Chrudim;Vítězslav Pouč;polygon s 5OB;36.48;50'15'300N,17'13'712E;;není možné podle pravidel bodovat
5;0;06.10.2018;100.7;50'18'228N,17'18'963E;;OK-1973;G-103 Twin Basic;Chrudim;Vítězslav Pouč;polygon s 5OB;47.39;50'15'084N,17'14'782E;;není možné podle pravidel bodovat
6;0;06.10.2018;27.8;49'17'950N,17'24'495E;;OK 8431;VT-116 Orlik II;Kroměříž;Jiří Vojta;polygon s 5OB;26.4;49'15'969N,17'28'878E;;není možné podle pravidel bodovat
7;0;06.10.2018;132.6;49'02'582N,17'23'781E;;OK-3122;Std. Cirrus;Kunovice;René Hudák;polygon s 5OB;22.01;48'59'789N,17'25'332E;;není možné podle pravidel bodovat
8;0;06.10.2018;82.2;49'03'108N,17'26'895E;;OK-0102;G-102 Astir cs;Kunovice;Adam Mléčka;polygon s 5OB;12.94;48'58'656N,17'31'627E;;není možné podle pravidel bodovat
9;0;06.10.2018;149.1;48'31'261N,17'32'216E;;OM-1725;Centrair C-101A Pegase;Bratislava;Juraj Jurovic;polygon s 5OB;37.35;48'27'808N,17'26'232E;;není možné podle pravidel bodovat
10;0;21.09.2018;214.8;49'04'554N,18'56'586E;;OM-7472;Std. Cirrus WL;SGC Martin;Samuel Posluch;polygon s 5OB;67.54;49'06'221N,18'56'548E;;není možné podle pravidel bodovat
11;0;06.10.2018;222.2;48'56'350N,20'32'317E;;OM9696;Discus 2c/2T /18m;Spišská Nová Ves;Ján Divok;trojúhelník;83.41;48'56'350N,20'32'317E;;rychlostní let se změnou tratě za letu
12;0;06.10.2018;197.4;50'28'492N,16'10'913E;;OK-7707;Std. Cirrus;Hronov;David Mach;polygon s 5OB;49.62;50'44'512N,15'49'895E;;není možné podle pravidel bodovat
13;0;06.10.2018;91.7;49'20'541N,17'35'733E;;D-KMEA;Stemme S 10- VT 23m;Kroměříž;Ivan Bednařík;polygon s 5OB;61.66;49'16'912N,17'26'897E;;není možné podle pravidel bodovat
14;0;06.10.2018;44.3;50'29'024N,16'11'869E;;OK-9458;Std. Cirrus;Hronov;Antonín Teichmann;polygon s 5OB;18.68;50'30'864N,16'19'217E;;není možné podle pravidel bodovat
15;0;06.10.2018;102.9;48'27'506N,17'31'832E;;OM1367;Std. Cirrus;Holíč;Juraj Sidor;polygon s 5OB;29.12;48'28'014N,17'26'080E;;volný let na vzdálenost
