;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
0;0;26.09.2018;202.8;48'16'767N,18'07'967E;;OM-8888;LS-8s(t) /18m;Nitra;Dominik Jančík;polygon s 3OB;79.69;48'16'767N,18'07'967E;;rychlostní let podle deklarace
1;0;09.09.2018;173.4;48'48'633N,17'08'067E;;OK-0376;Std. Cirrus;Holíč;Igor Špaček;polygon s 5OB;69.86;48'48'633N,17'08'067E;;rychlostní let se změnou tratě za letu
2;0;12.09.2018;14.7;49'46'351N,19'13'227E;;PZ_3734;PW-5 Smyk;Gdański;robert machel;polygon s 5OB;6.47;49'47'126N,19'13'468E;;není možné podle pravidel bodovat
3;0;25.09.2018;99.7;50'38'000N,17'46'900E;EPOP;;SZD-51-1 Junior;Opolski;Zbigniew Kunas;polygon s 3OB;48.48;50'38'000N,17'46'900E;EPOP;rychlostní let se změnou tratě za letu
4;1;15.09.2018;10.4;49'13'950N,18'36'640E;;OM-9613;VSO-10;Žilina;Samuel Hruška;polygon s 5OB;99.57;49'14'080N,18'37'260E;;není možné podle pravidel bodovat
5;0;25.09.2018;304.9;49'43'367N,13'27'117E;;OK-3833;Ventus c /17,6m;Šumperk;Marek Blaťák;polygon s 3OB;89.47;49'43'367N,13'27'117E;;rychlostní let podle deklarace
6;0;25.09.2018;230.6;50'05'650N,13'41'333E;LKRK;OK-1943;LS 1d;Rakovník;Jan Hlaváček;trojúhelník;71.81;50'05'650N,13'41'333E;LKRK;rychlostní let se změnou tratě za letu
7;0;25.09.2018;236.4;50'05'650N,13'41'333E;LKRK;OK-1009;LS-7;Rakovník;Jan Konečný;trojúhelník;69.99;50'05'650N,13'41'333E;LKRK;rychlostní let se změnou tratě za letu
8;0;25.09.2018;670.9;48'57'022N,20'45'514E;;OM9696;Discus 2c/2T /18m;Spišská Nová Ves;Maroš Divok;polygon s 5OB;109.06;49'07'133N,20'14'367E;;volný let na vzdálenost
9;0;25.09.2018;231.2;50'05'650N,13'41'333E;LKRK;OK-5678;Std. Cirrus;Rakovník;Radim Krofta;trojúhelník;70.66;50'05'650N,13'41'333E;LKRK;rychlostní let se změnou tratě za letu
10;0;25.09.2018;309.4;49'35'833N,15'32'950E;LKHB;;EB-28 edition 28,3m;Havlíčkův Brod;Radek Kučírek;polygon s 3OB;103.68;49'35'833N,15'32'950E;LKHB;rychlostní let podle deklarace
11;0;25.09.2018;287.4;51'47'117N,5'52'833E;;PH_1240;DG-800 S /18m;Hodkovice;Billy Vermeulen;polygon s 5OB;62.93;51'47'117N,5'52'833E;;rychlostní let se změnou tratě za letu
12;0;25.09.2018;105;49'49'752N,13'24'733E;;OK-5235;ASW-19B;Plzeň-Letkov;Roman Jokl;FAI trojúhelník;92.78;49'49'752N,13'24'733E;;rychlostní let podle deklarace
13;0;25.09.2018;84.7;50'06'023N,13'42'883E;;OK-9609;VSO-10;Rakovník;Michal Vildman;polygon s 5OB;42.29;50'06'164N,13'39'796E;;není možné podle pravidel bodovat
14;0;23.09.2018;29;49'35'354N,18'22'782E;;OK7301;G-102 Astir cs;Frýdlant n.O.;Ivo Arendacký;polygon s 5OB;32.39;49'31'196N,18'19'491E;;není možné podle pravidel bodovat
15;0;23.09.2018;125.5;41'54'620N,6'40'190W;;D-KUMO;DG-400 /17m;Kroměříž;Bohdan Sebestik;polygon s 5OB;31.77;41'53'330N,6'45'000W;;není možné podle pravidel bodovat
16;0;26.08.2018;220.8;49'14'800N,14'42'817E;;OK-0229;L-23 Super Blaník;Soběslav;Lukáš Bárta;polygon s 3OB;62.24;49'14'800N,14'42'817E;;rychlostní let podle deklarace
17;0;23.09.2018;231.2;50'04'550N,17'41'533E;;OK4901;Std. Cirrus;Krnov;Antonín Bordovský;polygon s 5OB;108.22;50'06'167N,17'25'817E;;rychlostní let se změnou tratě za letu
18;0;15.09.2018;7;49'13'949N,18'36'630E;;OM-0233;L-23 Super Blaník;Žilina;Martin Solár;polygon s 5OB;83.44;49'14'822N,18'37'494E;;není možné podle pravidel bodovat
19;1;16.09.2018;92.4;49'13'481N,18'35'004E;;OM-9619;VSO-10;Žilina;Martin Solár;polygon s 5OB;30.43;49'15'355N,18'36'065E;;není možné podle pravidel bodovat
20;1;15.09.2018;8.3;49'13'950N,18'36'632E;;OM-0233;L-23 Super Blaník;Žilina;Martin Solár;polygon s 5OB;83.23;49'14'093N,18'37'269E;;není možné podle pravidel bodovat
21;0;22.09.2018;210.3;50'53'100N,19'12'283E;;SP-3753;SZD-48 Jantar Std. 2(3);Częstochowski;Rychu Pachla;trojúhelník;76.83;50'53'100N,19'12'283E;;rychlostní let podle deklarace
22;0;22.09.2018;249;50'38'000N,17'46'900E;EPOP;;SZD-48 Jantar Std. 2(3);Opolski;Tomasz Radoszewski;polygon s 3OB;89.51;50'38'000N,17'46'900E;EPOP;rychlostní let se změnou tratě za letu
23;0;22.09.2018;147.5;49'36'000N,15'33'083E;;OM-5452;ASW-20 C(L) /15m +W;Prievidza;Eduard Niko;polygon s 5OB;82.81;49'36'000N,15'33'083E;;rychlostní let se změnou tratě za letu
24;0;22.09.2018;123.7;49'34'857N,15'45'670E;;OK-2805;VSO-10;Přibyslav;Michaela Křížová;polygon s 5OB;38.31;49'34'833N,15'45'767E;;volný let na vzdálenost
25;0;22.09.2018;152.9;50'05'183N,12'57'167E;;OK-7279;Ventus cT /17,6m;Toužim;Karel ml. Beníšek;trojúhelník;85.39;50'05'183N,12'57'167E;;rychlostní let se změnou tratě za letu
26;0;22.09.2018;271;50'05'681N,12'58'047E;;0K-0330;Nimbus 3 /25,5m 750kg;Toužim;Ivan Harašta;polygon s 5OB;92.53;50'04'000N,12'56'807E;;není možné podle pravidel bodovat
27;0;08.09.2018;312.4;50'05'183N,12'57'167E;;OK-7279;Ventus cT /17,6m;Toužim;Karel ml. Beníšek;FAI trojúhelník;84.83;50'05'183N,12'57'167E;;rychlostní let podle deklarace
28;0;22.09.2018;139.5;49'35'655N,15'42'812E;;OK_8656;ASW-15B;Přibyslav;Martin Kříž;polygon s 5OB;40.91;49'34'833N,15'45'767E;;volný let na vzdálenost
29;0;22.09.2018;266.7;50'24'233N,13'45'117E;;D-5335;Ventus a /15m WL 500kg;Raná;Ondřej Dvořák;polygon s 3OB;94.08;50'24'233N,13'45'117E;;rychlostní let se změnou tratě za letu
30;0;16.09.2018;70.4;49'56'565N,15'33'158E;;OK-2727;ASW-27;VAP;Libor Smolík;polygon s 5OB;71.84;49'56'420N,15'31'235E;;není možné podle pravidel bodovat
31;0;22.09.2018;158.9;49'56'349N,15'32'982E;;OK-2727;ASW-27;VAP;Milan Havlík;polygon s 5OB;97.12;49'55'565N,15'32'549E;;rychlostní let se změnou tratě za letu
32;0;22.09.2018;110.2;49'57'667N,15'30'850E;;OK-6744;ASW-20 (A)+F /15m;VAP;Jan Černý;polygon s 5OB;97.21;49'57'667N,15'30'850E;;rychlostní let podle deklarace
33;0;15.09.2018;94.8;50'43'793N,14'35'649E;;OK-8641;ASW-15B;Česká Lípa;Jan Šmaha;polygon s 5OB;43.03;50'45'863N,14'29'761E;;není možné podle pravidel bodovat
34;1;23.08.2018;233.8;51'50'100N,16'31'517E;;SP-3894;SZD-48 Jantar Std. 2(3);AOS Bezmiechowa;Olgierd Urbańczyk;polygon s 3OB;83.03;51'49'317N,16'24'350E;;rychlostní let podle deklarace
