;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
56;0;06.11.2018;250.8;48'46'058N,16'54'432E;;OK-2230;Ventus cM /17,6m;Břeclav;Pavel Zima;polygon s 5OB;62.35;48'52'611N,17'11'819E;;není možné podle pravidel bodovat
57;0;06.11.2018;119.2;49'27'867N,17'39'260E;;ok-a207;TST-3 Alpin TM;Hranice;Radim Sobek;polygon s 5OB;36.69;49'26'137N,17'42'356E;;není možné podle pravidel bodovat
58;0;06.11.2018;97.6;50'19'030N,17'20'340E;;OK-A416;TST-10M Atlas;Medlánky;Gustav Vrbacký;polygon s 3OB;41.11;50'06'300N,17'16'150E;;volný let na vzdálenost
59;0;06.11.2018;133.2;49'03'324N,17'28'114E;;OK-0102;G-102 Astir cs;Kunovice;Adam Mléčka;polygon s 5OB;33.02;48'59'155N,17'31'355E;;není možné podle pravidel bodovat
60;0;06.11.2018;392.2;50'02'000N,17'18'817E;;OK-4433;Duo Discus X(T);LAC Moravská Třebová;Jan Rolínek;polygon s 3OB;81.18;50'02'000N,17'18'817E;;rychlostní let se změnou tratě za letu
61;0;06.11.2018;815.3;50'05'017N,17'41'795E;;OK-0007;Ventus 2a /15m;Hranice;Radek Krejčiřík;polygon s 5OB;89.68;50'02'731N,17'23'721E;;není možné podle pravidel bodovat
62;0;06.11.2018;931.2;50'04'233N,17'18'250E;;OK-2977;ASG-29(E) 18m;Hranice;Petr Krejčiřík;polygon s 5OB;100.37;50'04'233N,17'18'250E;;rychlostní let se změnou tratě za letu
63;0;06.11.2018;132;50'39'251N,15'04'451E;;OK9688;G-103 Twin Astir, (+water);Hodkovice;Pavel Šulc;polygon s 5OB;40.68;50'48'279N,15'24'521E;;není možné podle pravidel bodovat
64;0;06.11.2018;419.1;50'09'617N,17'11'867E;;OK-7707;Std. Cirrus;Hronov;David Mach;polygon s 3OB;76.72;50'09'617N,17'11'867E;;rychlostní let se změnou tratě za letu
65;0;06.11.2018;74.7;48'16'726N,18'07'981E;;OM-8800;DG-1000S 20m;Nitra;Peter Hupka;polygon s 5OB;22.07;48'20'462N,18'06'270E;;není možné podle pravidel bodovat
66;0;06.11.2018;86.6;48'47'380N,16'53'650E;;OK-A31O;TST-10M Atlas;Letecký klub Břeclav;Karel Ertl;polygon s 5OB;44.43;48'57'880N,17'41'520E;;není možné podle pravidel bodovat
67;0;31.10.2018;86.6;49'08'016N,19'43'574E;;D-KEDR;Ventus 2cx(m/t) /18m 600kg;Martin;Milan Lojdl;polygon s 5OB;78.51;49'08'646N,18'56'758E;;není možné podle pravidel bodovat
68;0;06.11.2018;58;50'28'101N,16'12'118E;;OK-6676;Std. Cirrus;Hronov;Petr Jirásek;polygon s 5OB;26.52;50'32'093N,16'20'052E;;není možné podle pravidel bodovat
69;0;06.11.2018;134.4;50'18'513N,17'18'461E;;OK3969;ASW-15B;VAP;Kristina Šantrůčková;polygon s 5OB;24.7;50'17'491N,17'08'198E;;není možné podle pravidel bodovat
70;0;06.11.2018;218.7;50'49'933N,15'31'267E;;OK-6744;ASW-20 (A)+F /15m;VAP;Tomáš Ditrt;polygon s 5OB;104.59;50'49'933N,15'31'267E;;rychlostní let se změnou tratě za letu
71;0;06.11.2018;95.5;48'15'665N,18'08'632E;;OM-4400;Nimbus-2(b);Nitra;Dominik Jančík;polygon s 5OB;40.45;48'21'584N,18'09'380E;;není možné podle pravidel bodovat
72;0;05.11.2018;115.4;49'35'193N,18'22'198E;;OK-1979;DG-200 /15m;Frýdlant n.O.;Jiří Pělucha;polygon s 5OB;50.71;49'31'977N,18'19'262E;;není možné podle pravidel bodovat
73;0;05.11.2018;436.8;23'26'621S,18'16'616E;;OK-7393;HpH 304 TS Twin Shark (M) S;Břeclav;Václav Hrůza;polygon s 5OB;115.51;23'26'944S,18'17'334E;;není možné podle pravidel bodovat
74;0;04.11.2018;585.4;23'26'000S,18'16'167E;;OK-7393;HpH 304 TS Twin Shark (M) S;Břeclav;Václav Hrůza;polygon s 5OB;111.43;23'26'000S,18'16'167E;;rychlostní let se změnou tratě za letu
75;0;05.11.2018;289;50'10'610N,17'20'080E;;SP-4020;Janus c/cT/cM (FG);Opolski;Zbigniew Kunas;polygon s 3OB;49.5;50'09'433N,17'10'283E;;volný let na vzdálenost
76;0;05.11.2018;330;50'18'712N,17'18'938E;;OK-2345;Duo Discus (T) (700kg);Jeseník;Petr Lasovský;polygon s 5OB;63.17;50'15'386N,17'12'589E;;není možné podle pravidel bodovat
77;0;05.11.2018;401.5;49'09'456N,18'07'577E;;OK-5224;ASW-20 (A)+F /15m +W;Kroměříž;Lubor Vyhlíd;polygon s 5OB;77.33;49'04'825N,17'55'531E;;rychlostní let podle deklarace
78;0;05.11.2018;401.6;49'09'456N,18'07'578E;;OK-2006;KKB-15;Holešov;Michal Čechmánek;polygon s 5OB;78.31;49'04'824N,17'55'530E;;rychlostní let podle deklarace
79;0;05.11.2018;87;49'32'674N,17'42'505E;;OK-1723;Ventus cT /17,6m;Hranice;Zdeněk Schenk;polygon s 5OB;72.03;49'26'814N,17'44'280E;;není možné podle pravidel bodovat
80;0;05.11.2018;269.3;50'13'267N,17'18'667E;;OK-2016;Duo Discus (T) (700kg);Šumperk;Marek Blaťák;polygon s 3OB;57.83;50'10'267N,17'07'083E;;rychlostní let se změnou tratě za letu
81;0;05.11.2018;106.9;49'35'367N,18'22'750E;;OK-1979;DG-200 /15m;Frýdlant n.O.;Jiří Pělucha;polygon s 5OB;54.97;49'32'083N,18'17'700E;;rychlostní let se změnou tratě za letu
82;0;05.11.2018;103.5;50'18'788N,17'18'695E;;OK3969;ASW-15B;VAP;Kristina Šantrůčková;polygon s 5OB;17.03;50'12'138N,17'11'421E;;není možné podle pravidel bodovat
83;0;05.11.2018;126;50'21'320N,16'06'804E;;OKNUA29;Duo Banjo;Nové Město n. Met.;Ladislav Kunc;polygon s 5OB;51.01;50'39'544N,15'52'336E;;není možné podle pravidel bodovat
84;0;04.11.2018;107.8;50'24'907N,15'18'932E;;OK-2781;Std. Cirrus;Jičín;Radek Tobolka;polygon s 5OB;45.13;50'40'641N,15'35'662E;;není možné podle pravidel bodovat
85;0;05.11.2018;180.8;50'18'370N,17'19'030E;;OK-A416;TST-10M Atlas;Medlánky;Gustav Vrbacký;2OB;53.61;50'06'300N,17'16'150E;;volný let na vzdálenost
86;0;04.11.2018;83.4;50'36'125N,15'38'542E;;OK A802;TST-10M Atlas;Vrchlabí;Mirek Soukup;polygon s 5OB;19.93;50'38'696N,15'40'276E;;není možné podle pravidel bodovat
87;0;04.11.2018;152.8;50'23'709N,15'22'828E;;D-KAZS;Antares 18S/T;GAC Benešov;Robert Šíma;polygon s 5OB;43.57;50'45'032N,15'43'481E;;není možné podle pravidel bodovat
88;0;04.11.2018;136;50'25'566N,15'19'645E;;OK-3888;Duo Discus XL(T);Jičín;Zbyněk Fuksa;polygon s 5OB;28.72;50'43'959N,15'41'337E;;není možné podle pravidel bodovat
89;0;04.11.2018;132.5;50'25'918N,15'18'594E;;OK-4505;LS-8-18 /18m;Jičín;Zdeněk Borůvka;polygon s 5OB;33.12;50'44'361N,15'41'775E;;není možné podle pravidel bodovat
90;0;04.11.2018;97.9;50'31'402N,15'58'610E;;OKNUA29;Duo Banjo;Nové Město n. Met.;Ladislav Kunc;polygon s 5OB;37.04;50'43'171N,15'50'342E;;není možné podle pravidel bodovat
91;0;04.11.2018;113.5;50'25'891N,15'19'751E;;OK-0109;Std. Cirrus;Jičín;Zdeněk ml. Borůvka;polygon s 5OB;31.55;50'41'931N,15'37'836E;;není možné podle pravidel bodovat
92;0;04.11.2018;94.2;48'47'380N,16'53'160E;;OK-A31O;TST-10M Atlas;Letecký klub Břeclav;Karel Ertl;polygon s 5OB;29.22;48'51'330N,17'25'200E;;volný let na vzdálenost
93;0;23.10.2018;165.6;49'56'250N,15'32'333E;LKPN;OK-3474;Cirrus/Cirrus VTC;VAP;Aleš Vycudilík;polygon s 5OB;85.9;49'56'250N,15'32'333E;LKPN;rychlostní let se změnou tratě za letu
94;0;03.11.2018;606.5;23'26'050S,18'16'151E;;OK-7393;HpH 304 TS Twin Shark (M) S;Břeclav;Václav Hrůza;polygon s 5OB;130.87;23'25'364S,18'17'247E;;není možné podle pravidel bodovat
95;0;01.11.2018;262.3;50'05'680N,17'15'558E;;Ok 0214;L-23 Super Blaník;Trenčín;brano Studienka;polygon s 5OB;94.94;50'14'700N,17'09'549E;;není možné podle pravidel bodovat
96;0;29.10.2018;43.8;48'16'699N,18'08'074E;;OM-2512;VSO-10;Nitra;Ľuboš Benďák;polygon s 5OB;13.66;48'18'671N,18'08'470E;;není možné podle pravidel bodovat
97;0;06.10.2018;38.1;48'16'735N,18'08'023E;;OM-2512;VSO-10;Nitra;Ľuboš Benďák;polygon s 5OB;7.11;48'18'369N,18'08'756E;;není možné podle pravidel bodovat
98;0;01.11.2018;86.2;50'35'538N,16'14'850E;;OK-2277;Janus c/cM/cT;Broumov;Jiri Suchomel;polygon s 5OB;36.65;50'33'115N,16'21'493E;;není možné podle pravidel bodovat
99;0;01.11.2018;76.8;49'03'364N,17'27'278E;;OK-1976;DG-400 /17m;Kunovice;Václav Ochotný;polygon s 5OB;45.63;49'01'926N,17'26'460E;;není možné podle pravidel bodovat
